epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.666,1.58135,1.67721,1.8523,0.63748,0.62791,0.67813,0.31864,1.73158,1.86154,2.26668,0.00066485,0.00066485,0.00066485
2,246.715,1.61179,1.39499,1.87325,0.53716,0.7,0.58114,0.27111,1.72804,1.92841,2.2309,0.00131833,0.00131833,0.00131833
3,364.826,1.57034,1.31204,1.83336,0.80347,0.81766,0.86222,0.46074,1.54328,1.37116,2.08457,0.00195862,0.00195862,0.00195862
4,481.494,1.53877,1.25474,1.7993,0.79926,0.85188,0.86398,0.48489,1.51795,1.1144,2.02135,0.0019406,0.0019406,0.0019406
5,599.889,1.49029,1.15717,1.75211,0.91377,0.91188,0.92672,0.51679,1.51712,0.96532,2.04588,0.0019208,0.0019208,0.0019208
6,720.627,1.45662,1.10458,1.72938,0.9098,0.91487,0.94003,0.55169,1.40241,0.77971,1.9418,0.001901,0.001901,0.001901
7,837.322,1.42379,1.05044,1.69455,0.91181,0.86047,0.9296,0.51518,1.47082,0.86483,1.9762,0.0018812,0.0018812,0.0018812
8,954.781,1.40331,1.01054,1.67251,0.92073,0.90233,0.92465,0.56053,1.4154,0.74416,1.97187,0.0018614,0.0018614,0.0018614
9,1071.71,1.39387,0.99999,1.67043,0.90221,0.90118,0.91806,0.54972,1.44157,0.84302,1.99115,0.0018416,0.0018416,0.0018416
10,1188.9,1.36617,0.97328,1.65008,0.9279,0.92786,0.94228,0.57026,1.40015,0.71964,1.91367,0.0018218,0.0018218,0.0018218
11,1306.95,1.35229,0.93808,1.64238,0.91619,0.94064,0.9451,0.58604,1.36828,0.68411,1.86664,0.001802,0.001802,0.001802
12,1424.87,1.33766,0.94136,1.62625,0.93938,0.94884,0.94982,0.60078,1.35115,0.62924,1.87978,0.0017822,0.0017822,0.0017822
13,1544.25,1.32999,0.92124,1.61251,0.92777,0.95814,0.94842,0.57094,1.3628,0.67066,1.83541,0.0017624,0.0017624,0.0017624
14,1662.59,1.30744,0.90257,1.60143,0.95274,0.93758,0.95272,0.60097,1.33966,0.6402,1.8638,0.0017426,0.0017426,0.0017426
15,1779.23,1.30721,0.87145,1.59789,0.93924,0.95814,0.95282,0.58211,1.37617,0.64017,1.90653,0.0017228,0.0017228,0.0017228
16,1896.5,1.28951,0.85058,1.58794,0.93438,0.96744,0.96177,0.58771,1.34093,0.65191,1.84638,0.001703,0.001703,0.001703
17,2014.1,1.28742,0.86244,1.58537,0.94432,0.94655,0.95828,0.5797,1.37135,0.63805,1.87528,0.0016832,0.0016832,0.0016832
18,2132.42,1.27319,0.84406,1.56708,0.92961,0.95217,0.95565,0.59316,1.34776,0.60764,1.86969,0.0016634,0.0016634,0.0016634
19,2248.43,1.2803,0.85526,1.5782,0.94907,0.95347,0.95116,0.60445,1.31962,0.5881,1.85649,0.0016436,0.0016436,0.0016436
